Temperature,Profit
85.000000,69.710000
40.000000,11.880000
67.000000,46.040000
71.000000,49.340000
85.000000,67.930000
89.000000,73.160000
66.000000,45.050000
81.000000,64.360000
77.000000,58.390000
69.000000,48.770000
64.000000,41.210000
61.000000,38.160000
66.000000,42.160000
71.000000,53.040000
61.000000,37.300000
86.000000,69.190000
64.000000,44.070000
98.000000,84.120000
56.000000,34.470000
68.000000,43.730000
75.000000,55.340000
88.000000,69.670000
84.000000,64.100000
68.000000,41.680000
78.000000,60.330000
89.000000,73.320000
54.000000,30.370000
68.000000,49.370000
65.000000,45.380000
77.000000,56.330000
60.000000,35.060000
77.000000,59.870000
72.000000,53.570000
85.000000,68.280000
96.000000,82.830000
70.000000,52.050000
73.000000,52.130000
61.000000,39.420000
77.000000,56.330000
71.000000,53.770000
80.000000,61.820000
75.000000,53.710000
48.000000,22.290000
64.000000,40.140000
60.000000,40.950000
73.000000,54.670000
59.000000,37.740000
61.000000,38.100000
66.000000,47.520000
58.000000,36.790000
50.000000,25.680000
79.000000,59.490000
93.000000,79.760000
63.000000,40.590000
76.000000,59.410000
82.000000,63.410000
71.000000,55.040000
78.000000,58.310000
80.000000,61.590000
81.000000,58.110000
90.000000,74.800000
76.000000,56.590000
90.000000,77.390000
57.000000,35.800000
69.000000,47.780000
55.000000,27.680000
63.000000,44.150000
89.000000,74.090000
77.000000,59.480000
74.000000,57.100000
84.000000,63.130000
90.000000,71.120000
52.000000,28.050000
80.000000,63.460000
48.000000,26.410000
95.000000,80.970000
86.000000,64.850000
66.000000,40.650000
79.000000,67.420000
69.000000,51.380000
64.000000,40.280000
54.000000,28.370000
81.000000,62.360000
48.000000,23.780000
41.000000,18.820000
58.000000,36.110000
77.000000,57.470000
82.000000,66.570000
81.000000,62.120000
62.000000,41.440000
65.000000,43.280000
43.000000,15.880000
74.000000,54.360000
60.000000,39.690000
73.000000,53.970000
75.000000,58.620000
71.000000,52.170000
87.000000,68.480000
72.000000,51.260000
85.000000,67.880000
55.000000,29.530000
59.000000,29.690000
79.000000,57.060000
71.000000,53.330000
88.000000,69.780000
76.000000,60.330000
45.000000,19.230000
76.000000,52.840000
77.000000,57.520000
73.000000,54.400000
64.000000,38.570000
84.000000,68.280000
67.000000,48.650000
66.000000,46.740000
49.000000,23.540000
46.000000,21.250000
92.000000,75.600000
69.000000,42.500000
74.000000,53.440000
101.000000,85.020000
74.000000,54.260000
83.000000,65.540000
81.000000,59.470000
76.000000,53.170000
90.000000,73.940000
91.000000,79.310000
83.000000,63.290000
79.000000,59.690000
58.000000,31.560000
70.000000,50.870000
66.000000,44.480000
61.000000,37.420000
85.000000,62.990000
80.000000,62.790000
84.000000,66.610000
54.000000,30.090000
58.000000,35.130000
68.000000,45.890000
96.000000,80.020000
79.000000,62.520000
59.000000,37.500000
77.000000,56.430000
82.000000,66.060000
50.000000,22.890000
78.000000,59.120000
65.000000,47.360000
55.000000,33.910000
65.000000,42.710000
66.000000,45.070000
65.000000,44.310000
82.000000,65.490000
50.000000,27.640000
76.000000,60.310000
81.000000,64.230000
83.000000,64.380000
84.000000,67.580000
87.000000,70.430000
72.000000,57.180000
81.000000,65.860000
68.000000,46.900000
73.000000,55.010000
59.000000,35.330000
72.000000,50.790000
68.000000,47.470000
59.000000,38.470000
80.000000,59.910000
82.000000,64.860000
78.000000,61.220000
70.000000,50.310000
82.000000,64.020000
99.000000,87.080000
39.000000,13.170000
79.000000,59.700000
66.000000,44.980000
92.000000,77.410000
68.000000,50.740000
87.000000,68.000000
87.000000,70.290000
77.000000,53.820000
52.000000,30.670000
66.000000,47.360000
45.000000,21.620000
78.000000,57.250000
58.000000,33.440000
61.000000,38.210000
61.000000,37.960000
86.000000,69.660000
47.000000,22.120000
77.000000,55.070000
77.000000,54.100000
95.000000,78.200000
52.000000,27.870000
97.000000,82.500000
59.000000,38.180000
46.000000,19.810000
76.000000,53.830000
67.000000,42.940000
56.000000,33.220000
82.000000,64.970000
69.000000,49.880000
66.000000,45.420000
99.000000,89.290000
54.000000,27.410000
76.000000,59.940000
66.000000,47.680000
87.000000,65.190000
73.000000,54.080000
93.000000,77.180000
68.000000,47.350000
83.000000,60.780000
68.000000,47.170000
77.000000,53.070000
48.000000,24.220000
79.000000,64.630000
53.000000,32.600000
59.000000,32.290000
54.000000,27.990000
81.000000,61.520000
48.000000,25.010000
77.000000,60.750000
72.000000,53.590000
86.000000,71.460000
75.000000,57.840000
60.000000,36.250000
54.000000,33.710000
57.000000,30.890000
43.000000,17.020000
42.000000,18.650000
50.000000,27.290000
72.000000,50.010000
78.000000,62.580000
78.000000,57.930000
72.000000,53.780000
84.000000,63.630000
51.000000,32.180000
89.000000,71.510000
74.000000,53.620000
86.000000,68.350000
83.000000,65.660000
74.000000,50.640000
70.000000,49.120000
70.000000,49.320000
67.000000,44.850000
64.000000,40.570000
99.000000,85.130000
74.000000,55.520000
61.000000,37.660000
96.000000,80.950000
51.000000,21.930000
79.000000,57.440000
52.000000,28.820000
85.000000,64.220000
72.000000,51.550000
76.000000,59.430000
82.000000,61.850000
90.000000,75.940000
