0,1,2,3,4,5,6,7,8
100000000.000000,10000000.000000,1000000.000000,100000.000000,10000.000000,1000.000000,100.000000,10.000000,13.823812
214358881.000000,19487171.000000,1771561.000000,161051.000000,14641.000000,1331.000000,121.000000,11.000000,14.928321
429981696.000000,35831808.000000,2985984.000000,248832.000000,20736.000000,1728.000000,144.000000,12.000000,16.175197
815730721.000000,62748517.000000,4826809.000000,371293.000000,28561.000000,2197.000000,169.000000,13.000000,17.551845
1475789056.000000,105413504.000000,7529536.000000,537824.000000,38416.000000,2744.000000,196.000000,14.000000,19.041007
2562890625.000000,170859375.000000,11390625.000000,759375.000000,50625.000000,3375.000000,225.000000,15.000000,20.621101
4294967296.000000,268435456.000000,16777216.000000,1048576.000000,65536.000000,4096.000000,256.000000,16.000000,22.266672
6975757441.000000,410338673.000000,24137569.000000,1419857.000000,83521.000000,4913.000000,289.000000,17.000000,23.948956
11019960576.000000,612220032.000000,34012224.000000,1889568.000000,104976.000000,5832.000000,324.000000,18.000000,25.636543
16983563041.000000,893871739.000000,47045881.000000,2476099.000000,130321.000000,6859.000000,361.000000,19.000000,27.296118
25600000000.000000,1280000000.000000,64000000.000000,3200000.000000,160000.000000,8000.000000,400.000000,20.000000,28.893266
37822859361.000000,1801088541.000000,85766121.000000,4084101.000000,194481.000000,9261.000000,441.000000,21.000000,30.393335
54875873536.000000,2494357888.000000,113379904.000000,5153632.000000,234256.000000,10648.000000,484.000000,22.000000,31.762315
78310985281.000000,3404825447.000000,148035889.000000,6436343.000000,279841.000000,12167.000000,529.000000,23.000000,32.967735
110075314176.000000,4586471424.000000,191102976.000000,7962624.000000,331776.000000,13824.000000,576.000000,24.000000,33.979537
152587890625.000000,6103515625.000000,244140625.000000,9765625.000000,390625.000000,15625.000000,625.000000,25.000000,34.770925
208827064576.000000,8031810176.000000,308915776.000000,11881376.000000,456976.000000,17576.000000,676.000000,26.000000,35.319152
282429536481.000000,10460353203.000000,387420489.000000,14348907.000000,531441.000000,19683.000000,729.000000,27.000000,35.606239
377801998336.000000,13492928512.000000,481890304.000000,17210368.000000,614656.000000,21952.000000,784.000000,28.000000,35.619594
500246412961.000000,17249876309.000000,594823321.000000,20511149.000000,707281.000000,24389.000000,841.000000,29.000000,35.352530
656100000000.000000,21870000000.000000,729000000.000000,24300000.000000,810000.000000,27000.000000,900.000000,30.000000,34.804654
852891037441.000000,27512614111.000000,887503681.000000,28629151.000000,923521.000000,29791.000000,961.000000,31.000000,33.982124
1099511627776.000000,34359738368.000000,1073741824.000000,33554432.000000,1048576.000000,32768.000000,1024.000000,32.000000,32.897756
1406408618241.000000,42618442977.000000,1291467969.000000,39135393.000000,1185921.000000,35937.000000,1089.000000,33.000000,31.570992
1785793904896.000000,52523350144.000000,1544804416.000000,45435424.000000,1336336.000000,39304.000000,1156.000000,34.000000,30.027707
2251875390625.000000,64339296875.000000,1838265625.000000,52521875.000000,1500625.000000,42875.000000,1225.000000,35.000000,28.299862
2821109907456.000000,78364164096.000000,2176782336.000000,60466176.000000,1679616.000000,46656.000000,1296.000000,36.000000,26.425018
3512479453921.000000,94931877133.000000,2565726409.000000,69343957.000000,1874161.000000,50653.000000,1369.000000,37.000000,24.445704
4347792138496.000000,114415582592.000000,3010936384.000000,79235168.000000,2085136.000000,54872.000000,1444.000000,38.000000,22.408653
5352009260481.000000,137231006679.000000,3518743761.000000,90224199.000000,2313441.000000,59319.000000,1521.000000,39.000000,20.363925
6553600000000.000000,163840000000.000000,4096000000.000000,102400000.000000,2560000.000000,64000.000000,1600.000000,40.000000,18.363930
7984925229121.000000,194754273881.000000,4750104241.000000,115856201.000000,2825761.000000,68921.000000,1681.000000,41.000000,16.462370
9682651996416.000000,230539333248.000000,5489031744.000000,130691232.000000,3111696.000000,74088.000000,1764.000000,42.000000,14.713117
11688200277601.000000,271818611107.000000,6321363049.000000,147008443.000000,3418801.000000,79507.000000,1849.000000,43.000000,13.169059
