PetType_1,PetType_2,Breed_1,Breed_2,Breed_3,AgeMonths,Color_1,Color_2,Color_3,Size_1,Size_2,WeightKg,Vaccinated,HealthCondition,TimeInShelterDays,AdoptionFee,PreviousOwner,AdoptionLikelihood
0,0,0,0,0,131,0,0,0,0,0,5.039767822529515,1,0,27,140,0,0
0,1,0,0,1,73,0,0,1,0,0,16.086726854616735,0,0,8,235,0,0
1,0,0,1,0,136,0,0,0,0,1,2.0762862789067658,0,0,85,385,0,0
0,0,0,0,0,97,0,0,1,1,0,3.339423254344144,0,0,61,217,1,0
0,1,0,0,1,123,0,1,0,0,0,20.49809976164308,0,0,28,14,1,0
1,0,0,1,1,70,0,1,1,0,0,20.986260902397984,0,0,87,301,1,0
0,0,0,0,0,169,0,1,1,1,0,10.90261279164483,1,0,70,440,1,0
1,1,1,0,0,13,0,0,0,0,0,7.252683192048298,1,0,3,137,0,1
0,0,0,0,0,49,0,1,1,0,1,24.59759785196193,1,1,69,405,0,0
0,0,0,0,0,60,0,1,0,0,0,7.2959936546268205,0,0,73,231,1,0
0,0,0,0,0,130,0,0,0,0,0,16.71878502032501,0,0,7,88,0,0
0,1,0,0,1,5,0,0,1,1,0,29.078056385024258,1,0,60,462,0,1
1,0,0,1,0,172,0,1,1,0,0,5.28772069800913,1,0,4,76,1,0
1,1,1,0,0,27,1,0,0,0,0,28.28541175734656,1,0,5,135,0,0
1,1,1,0,1,160,0,1,1,0,1,6.303898538991391,1,0,11,404,0,1
0,1,0,0,1,149,0,0,1,1,0,17.45585303267366,1,0,15,468,1,0
1,1,1,0,1,8,0,0,0,1,0,11.933223646803594,1,1,64,405,1,0
1,1,1,0,1,50,0,0,1,0,1,28.98292944355295,1,0,13,109,0,1
0,1,0,0,1,67,1,0,0,0,0,8.932718841056172,1,1,7,352,1,0
1,0,0,1,1,44,0,1,0,1,0,12.590082060486855,0,1,6,300,0,0
0,1,0,0,1,125,0,1,1,1,0,29.502943417807195,1,0,56,90,0,0
1,1,1,0,1,58,0,0,0,0,0,16.557641344465722,0,0,64,423,1,0
1,0,0,1,1,3,0,1,0,0,0,15.57627335301635,1,0,50,369,1,1
