0,1,2,3,4,5,6,7,8
-0.549481,-0.591127,-0.643896,-0.713746,-0.812109,-0.963365,-1.223510,-1.713121,13.823812
-0.549481,-0.591127,-0.643893,-0.713723,-0.811941,-0.962223,-1.216403,-1.675051,14.928321
-0.549481,-0.591126,-0.643888,-0.713690,-0.811722,-0.960853,-1.208618,-1.636982,16.175197
-0.549481,-0.591125,-0.643881,-0.713643,-0.811439,-0.959235,-1.200157,-1.598913,17.551845
-0.549480,-0.591123,-0.643870,-0.713580,-0.811084,-0.957348,-1.191019,-1.560843,19.041007
-0.549480,-0.591121,-0.643855,-0.713496,-0.810644,-0.955171,-1.181203,-1.522774,20.621101
-0.549479,-0.591116,-0.643833,-0.713387,-0.810106,-0.952683,-1.170711,-1.484705,22.266672
-0.549478,-0.591111,-0.643804,-0.713247,-0.809458,-0.949864,-1.159542,-1.446635,23.948956
-0.549476,-0.591102,-0.643765,-0.713069,-0.808684,-0.946694,-1.147697,-1.408566,25.636543
-0.549474,-0.591091,-0.643714,-0.712847,-0.807770,-0.943150,-1.135174,-1.370497,27.296118
-0.549470,-0.591075,-0.643646,-0.712573,-0.806700,-0.939214,-1.121974,-1.332427,28.893266
-0.549465,-0.591053,-0.643560,-0.712239,-0.805456,-0.934863,-1.108097,-1.294358,30.393335
-0.549457,-0.591024,-0.643451,-0.711834,-0.804022,-0.930078,-1.093544,-1.256289,31.762315
-0.549447,-0.590987,-0.643313,-0.711349,-0.802378,-0.924837,-1.078314,-1.218219,32.967735
-0.549434,-0.590938,-0.643143,-0.710772,-0.800505,-0.919120,-1.062406,-1.180150,33.979537
-0.549415,-0.590875,-0.642933,-0.710090,-0.798383,-0.912906,-1.045822,-1.142080,34.770925
-0.549391,-0.590795,-0.642676,-0.709289,-0.795991,-0.906175,-1.028561,-1.104011,35.319152
-0.549359,-0.590695,-0.642365,-0.708356,-0.793305,-0.898906,-1.010623,-1.065942,35.606239
-0.549318,-0.590570,-0.641991,-0.707273,-0.790305,-0.891077,-0.992008,-1.027872,35.619594
-0.549266,-0.590414,-0.641543,-0.706025,-0.786965,-0.882669,-0.972716,-0.989803,35.352530
-0.549199,-0.590223,-0.641012,-0.704591,-0.783261,-0.873661,-0.952747,-0.951734,34.804654
-0.549114,-0.589990,-0.640384,-0.702954,-0.779167,-0.864032,-0.932102,-0.913664,33.982124
-0.549008,-0.589706,-0.639646,-0.701091,-0.774658,-0.853761,-0.910779,-0.875595,32.897756
-0.548876,-0.589365,-0.638784,-0.698979,-0.769705,-0.842827,-0.888779,-0.837526,31.570992
-0.548712,-0.588955,-0.637780,-0.696596,-0.764281,-0.831211,-0.866103,-0.799456,30.027707
-0.548512,-0.588466,-0.636617,-0.693916,-0.758357,-0.818890,-0.842750,-0.761387,28.299862
-0.548267,-0.587886,-0.635276,-0.690910,-0.751902,-0.805845,-0.818720,-0.723318,26.425018
-0.547969,-0.587201,-0.633736,-0.687552,-0.744887,-0.792055,-0.794012,-0.685248,24.445704
-0.547610,-0.586395,-0.631972,-0.683810,-0.737279,-0.777499,-0.768628,-0.647179,22.408653
